id;nom;tel;fax;email;adresse;contrat_cadre;updated_at;date_ceation;ice;echeance
1;Atos ITS Nearshore Center Maroc;;;;"Nearshore Park, Shore7, 1100, Boulevard
ElQods Sidi Maarouf ,20190, CASABLANCA";;;;1540000000000;60
2;Atos IT SERVICES SARL;;;;"Avenue Annakhil, Espace High Tech
hall B 5 ème étage Hay Riad, RABAT";;;;1510000000000;60
3;WANA CORPORATE;;;;"Lotissement la Colline II Sidi Maarouf,
CASABLANCA";;;;1530000000000;90
4;OCP SA;;;;"OCP_SIEGE 
Rue Al Abtal Hay Erraha, Casablanca. Maroc";;;;1540000000000;60
5;MEDI TELECOM;;;;"Lotissement la Coline, Imm les 4 temps Sidi
Maarouf, CASABLANCA";;;;1520000000000;90
6;Société Générale –Marocaine des banques;;;;"55 BD Abdelmoumen, 20360 
CASABLANCA";;;;1540000000000;60
7;Sofrecom Services Maroc,;;;;"Technopolis bâtiment B0 2eme étage
11 100 Sala AL Jadida";;;;1550000000000;60
8;Société Générale – African Business Services;;;;"Boulevard Sidi Mohammed ben Abdellah,
Tour Ivoire 2, Marina Casablanca";;;;1900000000000;60
9;HIGHTECH PAYMENT SYSTEMS,;;;;1100 Boulevard Al Qods, Sidi Maârouf Nearshore Park, Shore 1,Secteur A, CASABLANCA;;;;1520000000000;60
10;Devoteam Maroc;;;;7, Rue Mariniyine, Hassan-RABAT-BP 10 020-MAROC;;;;43032000002;60
11;Banque Marocaine Pour Le Commerce Et L'Industrie;;;;26, place des Nations Unies 20070, CASABLANCA;;;;1510000000000;60
12;QUANTEAM MAROC;;;;367 Boulevard Zerktouni, Casablanca;;;;1520000000000;45
13;EM TELECOM;;;;1ER étage de l’immeuble SIGMA La Colline lotissement ALAFAK, Sidi Maarouf- Casablanca;;;;89410000066;90
14;PCS invest;;;;Lot lina, N°259, Etage1. SIDI MAAROUF.CASABLANCA Maroc;;;;186000000000;90
15;VERNE TELECOM MAROC;;;;Lot AFAK N 441 ETAGE 1, Sidi Maarouf- Casablanca;;;;46600000000;60
16;ORANGE BUSINESS MAROC SARL;;;;"32 AVENUE MERS SULTAN RESIDENCE MERS SULTAN
CASABLANCA";;;;;60
