id;nom;tel;fax;adresse;rib;rc;ice;iif
1;AMEXA;;;Centre Riad 61, Angle Av LALLA YACOUT et MOSTAPHA ELMAANI N°69 2°ETG CASABLANCA;007 780 0000954000040509 60;445893;2343980000000,00;37723332
2;3DS;;;"13 RUE AHMED EL MAJJATI 
RES LES ALPES 1ER ETG N° 8 CASABLANCA";190 780 21211 14515940004 31;466165;2574020000000,00;45882369
3;COOLINFO;;;15 Avenue AL ABTAL appt4 - Agdal Rabat,;007 780 00 00 959 00 00 40 501 59;135305;2182620000000,00;33614614
4;FARES ETUDES;;;151 RUE OUSSAMA BNOU ZAID ETG 2 CITE GAUCHE N G MAARIF– Casablanca,;007 780 0000953000040485 40;408865;2124880000000,00;26080662
5;H.AIS INFO;;;13 RUE AHMED ELMAJJATI RES LES ALPES 1ER ETAG N° 8-CASA;190 780 21211 1366715 0008 30;345715;1557860000000,00;18744413
6;ITTACT;;;14 Rue De Lucerne Résidence Latifa 1er étage Bureau N°3. CASABLANCA;007 780 0003642000000332 63;453613;2371560000000,00;39496161
7;KALAM;;;46 Boulevard Zerktouni 3eme étage Apt N°6, Casablanca,;007 780 0000953000040471 82;391335;2015190000000,00;24970198
8;Z.S.DATA;522893025;;100 rue 76 GR O RL OULFA CASABLANCA;190 780 21211 7567484 0004 18;132279;1532070000000,00;2260472
9;A&Y SOLUTION;;;Bd Romandie 151 Rue Oussama Bnou Zaid 2 Eme Etage Gauche G Maarif Casablanca;007 780 0003621000001145 57;444839;2332010000000,00;37701016
10;IT GERANCE;;;46 BD ZERKTOUNI ETG 6 BR 15 CASABLANCA;230 780 3669329221032000 48;474171;2626480000000,00;45990661
11;SKYLARK SERVICES;+212 6 61 93 95 63;;Bureau 277 TECHNOPARK CASABLANCA;022 780 0002600027996204 74;358635;1566960000000,00;18816758
12;OMNIUM CONSULTING;;;220, Av. LA MECQUE, IMM. SOMACIL, Appt. 1, LAAYOUNE;011 780 00 00 16 210 00 07 002 13;11585;2079090000000,00;40481555
12;ONE PM;;;13 RUE AHMED EL MEJJATI RES LES ALPES 1ER ET N° 8 CASABLANA;007 780 0015115000000099 45;357807;1669720000000,00;18813512
12;Premium Professional Services;;;;;;;
12;BIANCATECH;;;;;;;
